"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-02-14,19,0,21.9,72.5,1.1,0
2016-02-14,20,0,21.15,75.5,0.2,0
2016-02-14,21,0,20.7,78.5,0,0
2016-02-14,22,0,20.25,81.5,0.2,0
2016-02-14,23,0,19.85,85.5,0,0
2016-02-15,0,0,19.25,86.5,0,0
2016-02-15,1,0,17.9,91,0.2,0
2016-02-15,2,0,17.65,91.5,0.2,0
2016-02-15,3,0,16.95,92.5,0,0
2016-02-15,4,0,16.75,94,0,0
2016-02-15,5,0,16.7,94.5,0,0
2016-02-15,6,3,16.35,96,0,0
2016-02-15,7,93,17.55,95,0,0
2016-02-15,8,369,21,84,1.1,0
2016-02-15,9,610,23.6,73.5,1.1,0
2016-02-15,10,499,25,66.5,0.9,0
2016-02-15,11,838,27.5,55.5,1.1,0
2016-02-15,12,618.5,27.15,52,2,0
2016-02-15,13,381,28.85,45,1.1,0
2016-02-15,14,262,28.2,44.5,2,0
2016-02-15,15,439.5,27.7,50,1.55,0
2016-02-15,16,271.5,26.95,57.5,3.55,0
2016-02-15,17,148.5,24.9,64,4.9,0
2016-02-15,18,9.5,22.9,73.5,4.45,0
2016-02-15,19,0,21.8,79,1.1,0
2016-02-15,20,0,21.35,82,0.2,0
2016-02-15,21,0,20.85,84.5,0,0
2016-02-15,22,0,20.3,87,0.4,0
2016-02-15,23,0,19.6,91,0.4,0
2016-02-16,0,0,19.35,92.5,0,0
2016-02-16,1,0,18.85,93,0,0
2016-02-16,2,0,18.15,94,0,0
2016-02-16,3,0,17.95,96,0,0
2016-02-16,4,0,17.85,96,0,0
2016-02-16,5,0,18.05,96,0,0
2016-02-16,6,3.5,17.85,97,0.2,0
2016-02-16,7,66,18.25,97,0,0
2016-02-16,8,289.5,20.7,87.5,0.2,0
2016-02-16,9,593,24.1,74,1.1,0
2016-02-16,10,725,25.75,67.5,0.9,0
2016-02-16,11,655.5,27.2,57,1.1,0
2016-02-16,12,807,28.4,52,2,0
2016-02-16,13,922,30.25,43.5,3.1,0
2016-02-16,14,820.5,30.2,42,3.35,0
2016-02-16,15,491,29.2,48,4.45,0
2016-02-16,16,79,26.4,61.5,3.8,0
2016-02-16,17,49.5,24.65,70,2.65,0
2016-02-16,18,3,22.6,77.5,1.75,0
2016-02-16,19,0,22.75,79,1.55,0
2016-02-16,20,0,19.95,88,3.6,0.6
2016-02-16,21,0,17.85,93.5,4.25,8.6
2016-02-16,22,0,17.2,96.5,0.65,17.4
2016-02-16,23,0,17.25,96,1.1,0.8
2016-02-17,0,0,17.15,96.5,0.9,0.4
2016-02-17,1,0,16.85,97,0.65,0
2016-02-17,2,0,16.75,97.5,0.65,0
2016-02-17,3,0,16.65,97,1.3,0
2016-02-17,4,0,16.45,97,0.4,0
2016-02-17,5,0,16.05,97,0.2,0
2016-02-17,6,6,15.7,97.5,0,0
2016-02-17,7,142.5,17.7,96.5,0.45,0
2016-02-17,8,252,17.8,98,1.3,0
2016-02-17,9,622.5,20.9,91,1.1,0
2016-02-17,10,713.5,22.25,82.5,1.3,0
2016-02-17,11,903,24.4,69,1.35,0
2016-02-17,12,923.5,25.2,68.5,1.8,0
2016-02-17,13,872,25.95,66,2.45,0
2016-02-17,14,754.5,26.3,62,3.35,0
2016-02-17,15,445,25.55,66,3.8,0
2016-02-17,16,381,24.85,67,4.25,0
2016-02-17,17,139,23.1,72.5,3.35,0
2016-02-17,18,9.5,22.1,75.5,1.35,0
2016-02-17,19,0,20.9,81.5,1.55,0
2016-02-17,20,0,20,86,2.45,0
2016-02-17,21,0,19.55,91.5,0,0
2016-02-17,22,0,19.15,92.5,0.2,0
2016-02-17,23,0,18.95,94,0,0
2016-02-18,0,0,18.55,94.5,0,0
2016-02-18,1,0,18.35,95,0,0
2016-02-18,2,0,18.1,95,0,0
2016-02-18,3,0,17.35,96,0,0
2016-02-18,4,0,16.65,96.5,0,0
2016-02-18,5,0,16.4,97,0.2,0
2016-02-18,6,4,16.3,97,0,0
2016-02-18,7,81,17.2,97,0,0
2016-02-18,8,324,19,93.5,0.9,0
2016-02-18,9,609.5,22.1,81.5,1.3,0
2016-02-18,10,848.5,24.25,70,1.3,0
2016-02-18,11,613,24.95,70,1.3,0
2016-02-18,12,979.5,26.95,62,1.75,0
2016-02-18,13,953.5,27.65,57,1.8,0
2016-02-18,14,833,28.35,51,2.25,0
2016-02-18,15,652,27.9,52.5,4,0
2016-02-18,16,345.5,26.05,58.5,5.4,0
2016-02-18,17,66,23.9,61.5,4.45,0
2016-02-18,18,8,22.95,68,1.55,0
2016-02-18,19,0,21.95,74,1.1,0
2016-02-18,20,0,20.75,79,0.2,0
2016-02-18,21,0,19.6,86,0.4,0
2016-02-18,22,0,19.8,89,0.2,0
2016-02-18,23,0,19.1,90.5,0.2,0
2016-02-19,0,0,18.7,93,0.2,0
2016-02-19,1,0,18.45,93.5,0,0
2016-02-19,2,0,17.9,95.5,0,0
2016-02-19,3,0,17.45,97,0.4,0
2016-02-19,4,0,17.3,96.5,0,0
2016-02-19,5,0,17.25,97,0.4,0
2016-02-19,6,2.5,17.15,97,0.2,0
2016-02-19,7,69,17.65,97,0,0
2016-02-19,8,239.5,20.25,90,0.2,0
2016-02-19,9,319.5,21.5,82,0.65,0
2016-02-19,10,736,23.95,72,1.1,0
2016-02-19,11,946,27.05,63,1.3,0
2016-02-19,12,983.5,28.3,50,1.8,0
2016-02-19,13,923,28.95,45.5,2.2,0
2016-02-19,14,815,28.55,47.5,3.35,0
2016-02-19,15,621,28,54.5,4.5,0
2016-02-19,16,375.5,25.8,62.5,4.9,0
2016-02-19,17,156,24.2,67,4.05,0
2016-02-19,18,15.5,22.85,71,3.8,0
2016-02-19,19,0,22.15,72,0.9,0
